year,state,Apache,Blackfoot,Cherokee,Cheyenne,Chickasaw,Chippewa,Choctaw,Comanche,Creek,Crow,Iroquois,Kiowa,Lumbee,Navajo,Osage,Paiute,Pima,Potawatomi,Pueblo,Seminole,Shoshone,Sioux,Tohono O'Odham,Alaska Native--Alaskan Athabaskan,Alaska Native--Aleut,Alaska Native--Eskimo,Alaska Native--Tlingit,American Indian and Alaska Native--All other tribes,American Indian and Alaska Native--Tribe not specified,Native Hawaiian and Other Pacific Islander--Polynesian,Native Hawaiian and Other Pacific Islander--Polynesian--Hawaiian,Native Hawaiian and Other Pacific Islander--Polynesian--Samoan,Native Hawaiian and Other Pacific Islander--Polynesian--Tongan,Native Hawaiian and Other Pacific Islander--Polynesian--Other Polynesian,Native Hawaiian and Other Pacific Islander--Micronesian,Native Hawaiian and Other Pacific Islander--Micronesian--Guamanian,Native Hawaiian and Other Pacific Islander--Micronesian--Other Micronesian,Native Hawaiian and Other Pacific Islander--Melanesian,Native Hawaiian and Other Pacific Islander--Melanesian--Fijian,Native Hawaiian and Other Pacific Islander--Melanesian--Other Melanesian,Native Hawaiian and Other Pacific Islander--Other
1990,Alabama,135,116,8152,18,56,95,2013,34,2639,24,105,8,67,72,15,3,4,45,20,83,4,159,3,6,89,105,4,396,2036,425,343,77,2,3,260,247,13,5,5,0,19
1990,Alaska,144,213,1183,52,49,333,243,44,71,29,108,18,35,138,56,25,20,47,149,60,38,336,11,11696,10052,44401,9448,4533,2166,1644,934,522,158,30,238,208,30,2,2,0,30
1990,Arizona,19080,299,3280,151,281,649,918,241,422,96,525,191,72,104682,141,339,12488,274,9831,103,151,1541,14167,58,234,284,82,17756,15191,2594,1690,416,388,100,812,709,103,25,20,5,76
1990,Arkansas,247,147,6661,72,180,130,1366,85,349,9,92,50,34,88,153,4,10,104,45,50,9,200,2,17,52,80,7,828,1702,287,226,55,1,5,109,95,14,4,0,4,5
1990,California,9089,5042,44215,861,2143,4541,8888,1399,3284,447,3208,637,511,8538,1295,4398,1076,1888,4047,1273,1570,7544,1127,319,3534,2552,681,67639,50418,75958,34447,31917,7919,1675,26625,25059,1566,5778,5744,34,2238
1990,Colorado,1389,434,4458,296,206,809,627,222,261,59,464,138,35,3604,243,64,45,289,704,137,155,3031,37,50,208,297,70,5205,4239,1805,1368,345,45,47,867,778,89,9,6,3,59
1990,Connecticut,72,233,912,20,17,106,57,17,26,10,414,5,21,64,5,5,1,22,33,57,8,136,7,10,99,83,20,2279,1915,373,269,85,3,16,216,202,14,8,7,1,23
1990,Delaware,29,56,388,3,4,21,15,2,7,2,53,0,34,18,1,1,6,14,8,15,4,39,0,1,18,19,0,805,456,91,65,23,1,2,73,63,10,0,0,0,5
1990,District Of Columbia,15,62,320,9,5,11,12,8,12,3,43,0,10,18,1,2,1,5,12,19,0,38,1,2,20,14,4,213,606,137,101,34,1,1,118,108,10,13,7,6,23
1990,Florida,804,885,10143,122,169,944,708,187,3942,95,1326,55,485,384,103,39,12,205,160,2290,82,895,19,50,443,431,39,3682,7636,2887,2049,577,122,139,1343,1241,102,35,32,3,181
1990,Georgia,260,226,5493,22,75,250,285,68,933,25,232,27,278,188,48,18,11,65,74,146,13,329,11,38,199,223,12,1043,2756,1292,847,412,5,28,647,594,53,26,26,0,52
1990,Hawaii,247,163,1354,28,26,86,151,32,51,14,131,19,33,143,40,14,11,42,78,44,26,224,14,38,206,155,26,793,910,157749,138742,15034,3088,885,3968,2120,1848,291,261,30,261
1990,Idaho,174,257,1212,78,43,366,182,32,76,50,110,30,16,715,34,175,29,69,57,18,617,574,19,30,54,132,72,7514,1045,719,476,145,51,47,144,95,49,6,6,0,4
1990,Illinois,522,661,4970,84,109,1781,566,131,219,53,843,47,95,394,79,15,37,332,132,85,39,1008,24,30,452,414,28,2715,5971,1418,1000,367,15,36,1153,1105,48,21,16,5,150
1990,Indiana,325,434,3656,59,55,489,212,62,108,25,297,15,54,139,48,9,15,281,78,47,24,517,5,22,97,170,20,2964,2493,709,528,151,15,15,232,217,15,3,1,2,13
1990,Iowa,135,135,1067,41,13,364,71,35,52,21,95,54,17,55,23,4,7,48,32,19,7,1539,1,6,65,67,11,2178,1187,321,244,59,10,8,96,81,15,1,0,1,21
1990,Kansas,421,246,6252,203,217,334,944,248,846,44,355,286,33,526,431,33,11,2154,155,214,39,946,37,43,84,114,39,4196,2514,666,422,218,9,17,335,268,67,2,1,1,39
1990,Kentucky,162,174,2471,22,42,140,96,40,74,16,110,15,27,85,24,5,6,26,44,49,10,186,0,13,73,82,4,404,1369,546,338,194,2,12,254,220,34,3,1,2,26
1990,Louisiana,331,105,2186,17,120,125,1627,52,332,22,114,15,36,101,90,9,4,67,31,58,19,193,3,16,88,92,8,8858,3822,591,411,169,2,9,320,291,29,2,2,0,13
1990,Maine,56,86,315,3,10,70,14,4,15,6,117,0,9,30,1,1,1,8,9,7,3,68,4,4,19,34,11,4324,769,165,115,39,2,9,63,58,5,2,2,0,3
1990,Maryland,206,386,3342,28,40,228,191,48,112,19,378,33,1038,221,57,15,8,46,98,87,21,300,12,11,202,169,23,2188,3465,806,636,154,2,14,657,581,76,24,19,5,84
1990,Massachusetts,172,427,1473,24,20,187,95,39,71,16,653,22,18,136,19,11,9,38,127,61,27,278,3,19,174,210,18,4264,3630,759,505,204,15,35,391,364,27,28,25,3,77
1990,Michigan,686,1322,9024,81,109,19884,401,106,199,63,2080,30,652,254,99,13,21,2267,109,130,53,1042,19,29,254,253,60,7735,8663,1006,787,191,12,16,356,283,73,20,15,5,100
1990,Minnesota,125,207,930,70,10,31995,157,32,73,36,343,24,12,145,19,30,19,124,80,24,22,5519,8,27,282,235,29,2184,7148,541,383,120,33,5,223,165,58,9,9,0,161
